State,Year,County,Party,Personal income (thousands of dollars) 2007,Personal income (thousands of dollars) 2006,Personal income (thousands of dollars) 2005, Net earnings by place of residence 2007, Net earnings by place of residence 2006, Net earnings by place of residence 2005, Personal current transfer receipts 2007, Personal current transfer receipts 2006, Personal current transfer receipts 2005,  Income maintenance benefits 1/2007,  Income maintenance benefits 1/2006,  Income maintenance benefits 1/2005,  Unemployment insurance compensation 2007,  Unemployment insurance compensation 2006,  Unemployment insurance compensation 2005,  Retirement and other 2007,  Retirement and other 2006,  Retirement and other 2005," Dividends, interest, and rent 2/2007"," Dividends, interest, and rent 2/2006"," Dividends, interest, and rent 2/2005", Population (persons) 3/2007, Population (persons) 3/2006, Population (persons) 3/2005, Per capita personal income 4/2007, Per capita personal income 4/2006, Per capita personal income 4/2005, Per capita net earnings 4/2007, Per capita net earnings 4/2006, Per capita net earnings 4/2005, Per capita personal current transfer receipts 4/2007, Per capita personal current transfer receipts 4/2006, Per capita personal current transfer receipts 4/2005,  Per capita income maintenance benefits 4/2007,  Per capita income maintenance benefits 4/2006,  Per capita income maintenance benefits 4/2005,  Per capita unemployment insurance compensation 4/2007,  Per capita unemployment insurance compensation 4/2006,  Per capita unemployment insurance compensation 4/2005,  Per capita retirement and other 4/2007,  Per capita retirement and other 4/2006,  Per capita retirement and other 4/2005," Per capita dividends, interest, and rent 4/2007"," Per capita dividends, interest, and rent 4/2006"," Per capita dividends, interest, and rent 4/2005", Earnings by place of work 2007, Earnings by place of work 2006, Earnings by place of work 2005,  Wages and salaries 2007,  Wages and salaries 2006,  Wages and salaries 2005,  Supplements to wages and salaries 2007,  Supplements to wages and salaries 2006,  Supplements to wages and salaries 2005,   Employer contributions for employee pension and insurance funds 5/2007,   Employer contributions for employee pension and insurance funds 5/2006,   Employer contributions for employee pension and insurance funds 5/2005,   Employer contributions for government social insurance 2007,   Employer contributions for government social insurance 2006,   Employer contributions for government social insurance 2005,  Proprietors' income 2007,  Proprietors' income 2006,  Proprietors' income 2005,   Farm proprietors' income 2007,   Farm proprietors' income 2006,   Farm proprietors' income 2005,   Nonfarm proprietors' income 2007,   Nonfarm proprietors' income 2006,   Nonfarm proprietors' income 2005
Alabama,2008,Lee,R,3756329,3529062,3274536,2463943,2340065,2196677,549389,490889,448474,70442,57861,56510,6921,5858,6016,472026,427170,385948,742997,698108,629385,131934,129247,126133,28471,27305,25961,18676,18105,17416,4164,3798,3556,534,448,448,52,45,48,3578,3305,3060,5632,5401,4990,2319553,2214344,2063641,1702066,1612739,1490843,435894,414659,408475,312704,297645,297439,123190,117014,111036,181593,186946,164323,-1696,-38,-1006,183289,186984,165329
Alabama,2008,Limestone,R,2335716,2150896,1959684,1572174,1479863,1346767,397742,355754,324559,36630,31872,30668,3519,3458,3945,357593,320424,289946,365800,315279,288358,76063,73651,71303,30708,29204,27484,20669,20093,18888,5229,4830,4552,482,433,430,46,47,55,4701,4351,4066,4809,4281,4044,1360107,1417447,1300353,995184,1035310,943861,245244,245652,233901,170392,169420,163445,74852,76232,70456,119679,136485,122591,16161,36897,33352,103518,99588,89239
Alabama,2008,Lowndes,D,332440,308284,300574,211734,196327,190404,87552,82194,77158,19107,17505,17161,1015,955,986,67430,63734,59011,33154,29763,33012,11973,12124,12397,27766,25428,24246,17684,16193,15359,7312,6779,6224,1596,1444,1384,85,79,80,5632,5257,4760,2769,2455,2663,195446,177509,171584,123598,117272,107204,34494,31981,30756,24995,23078,22361,9499,8903,8395,37354,28256,33624,24301,13906,19822,13053,14350,13802
Alabama,2008,Macon,D,500754,484976,465513,273560,272865,263910,150731,141661,131534,28037,25195,25006,1368,1246,1308,121326,115220,105220,76463,70450,70069,21942,22227,22388,22822,21819,20793,12467,12276,11788,6870,6373,5875,1278,1134,1117,62,56,58,5529,5184,4700,3485,3170,3130,281207,280553,269610,198726,194922,185384,63331,62363,61929,48453,47909,48070,14878,14454,13859,19150,23268,22297,4340,6217,5927,14810,17051,16370
Alabama,2008,Madison,R,12387516,11541205,10710413,8318939,7833174,7331097,1508350,1376259,1248962,135159,116839,112191,15901,14675,15291,1357290,1244745,1121480,2560227,2331772,2130354,315859,309170,301474,39218,37330,35527,26338,25336,24318,4775,4451,4143,428,378,372,50,47,51,4297,4026,3720,8106,7542,7066,11500340,10758379,10011478,8911909,8296789,7685668,2015051,1903332,1827245,1368674,1298899,1258419,646377,604433,568826,573380,558258,498565,7776,7778,18908,565604,550480,479657
Alabama,2008,Marengo,D,618095,606007,576824,346767,355927,342417,170239,158817,145057,25322,22680,21970,1214,1043,1239,143703,135094,121848,101089,91263,89350,21475,21531,21569,28782,28146,26743,16147,16531,15875,7927,7376,6725,1179,1053,1019,57,48,57,6692,6274,5649,4707,4239,4143,362273,370696,357914,249647,249162,241829,63581,63868,63682,45516,45600,45809,18065,18268,17873,49045,57666,52403,12966,15229,14989,36079,42437,37414
Alabama,2008,Marion,R,767884,730150,718412,437779,436055,439246,213396,202764,188850,20014,17313,17393,1886,1527,1489,191496,183924,169968,116709,91331,90316,30849,30779,30494,24892,23722,23559,14191,14167,14404,6917,6588,6193,649,562,570,61,50,49,6208,5976,5574,3783,2967,2962,498445,504294,506986,346893,356762,344325,89130,91937,92833,62760,64080,65102,26370,27857,27731,62422,55595,69828,15059,6100,20004,47363,49495,49824
Alabama,2008,Marshall,R,2518875,2382749,2295876,1519961,1496185,1462790,564639,518276,480328,55499,47158,46025,4039,3814,4093,505101,467304,430210,434275,368288,352758,89605,88209,86516,28111,27013,26537,16963,16962,16908,6301,5876,5552,619,535,532,45,43,47,5637,5298,4973,4847,4175,4077,1589688,1558045,1532985,1122591,1080590,1039285,285744,277590,277815,200836,194945,198749,84908,82645,79066,181353,199865,215885,3538,6069,44066,177815,193796,171819
Alabama,2008,Mobile,R,12365587,11972019,10817448,7908562,7736436,6865787,2487909,2383796,2330697,352631,312412,358252,20752,19715,22101,2114526,2051669,1950344,1969116,1851787,1620964,405715,402916,398942,30479,29713,27115,19493,19201,17210,6132,5916,5842,869,775,898,51,49,55,5212,5092,4889,4853,4596,4063,9635158,9399979,8409807,7049578,6766522,6143542,1574003,1511954,1468704,1064891,1030615,1009611,509112,481339,459093,1011577,1121503,797561,7522,19626,6780,1004055,1101877,790781
Alabama,2008,Monroe,R,600908,580054,566994,356776,360898,360894,164794,148473,137461,22937,20306,20015,1613,1472,1461,140244,126695,115985,79338,70683,68639,23437,23602,23683,25639,24576,23941,15223,15291,15239,7031,6291,5804,979,860,845,69,62,62,5984,5368,4897,3385,2995,2898,420465,429704,436185,320730,321202,325189,75839,75680,78704,52766,51975,54141,23073,23705,24563,23896,32822,32292,1324,5611,9994,22572,27211,22298
Alabama,2008,Montgomery,D,8093430,7968201,7580035,4863896,4857504,4656631,1378906,1287227,1197971,225580,205065,198749,12258,11498,11975,1141068,1070664,987247,1850628,1823470,1725433,227888,227291,223608,35515,35057,33899,21343,21371,20825,6051,5663,5357,990,902,889,54,51,54,5007,4711,4415,8121,8023,7716,7719517,7553024,7144623,5851774,5652618,5286473,1434721,1396741,1368294,1009730,983525,975139,424991,413216,393155,433022,503665,489856,11194,49105,52656,421828,454560,437200
Alabama,2008,Morgan,R,3672321,3522414,3340029,2354198,2293285,2209559,691456,636515,581193,60216,52953,50476,5733,5951,6357,625507,577611,524360,626667,592614,549277,116397,115491,113964,31550,30499,29308,20226,19857,19388,5940,5511,5100,517,459,443,49,52,56,5374,5001,4601,5384,5131,4820,2524692,2431366,2360112,1886629,1795386,1720096,450020,432898,433518,312578,301679,305327,137442,131219,128191,188043,203082,206498,5618,10764,34265,182425,192318,172233
Alabama,2008,Perry,D,254113,246684,244746,121940,126754,126143,99626,92094,90003,21117,18906,18137,851,796,812,77658,72392,71054,32547,27836,28600,10774,10677,10881,23586,23104,22493,11318,11872,11593,9247,8625,8272,1960,1771,1667,79,75,75,7208,6780,6530,3021,2607,2628,116965,118032,115087,69983,64418,63264,19394,18342,18379,14041,13470,13556,5353,4872,4823,27588,35272,33444,9227,16946,19355,18361,18326,14089
Alabama,2008,Pickens,R,541469,509867,520778,308197,298718,312385,153190,145421,138087,19970,17476,18122,1129,1083,1074,132091,126862,118891,80082,65728,70306,19989,20128,20192,27088,25331,25791,15418,14841,15471,7664,7225,6839,999,868,897,56,54,53,6608,6303,5888,4006,3266,3482,195648,189701,215175,118947,117035,116086,31954,31597,32183,23056,22871,23386,8898,8726,8797,44747,41069,66906,15956,11338,36223,28791,29731,30683
Alabama,2008,Pike,R,926470,870933,838266,554633,536077,520282,218744,197690,186553,28860,25134,24544,1759,1575,1528,188125,170981,160481,153093,137166,131431,31761,31309,30772,29170,27817,27241,17463,17122,16908,6887,6314,6062,909,803,798,55,50,50,5923,5461,5215,4820,4381,4271,669935,630436,606834,462228,423842,399347,118744,108632,109173,84785,77168,78828,33959,31464,30345,88963,97962,98314,10428,24518,43965,78535,73444,54349
Alabama,2008,Randolph,R,600889,557713,536713,349633,335503,331107,161192,148971,136751,17698,15192,14976,1422,1401,1533,142072,132378,120242,90064,73239,68855,22662,22695,22658,26515,24574,23688,15428,14783,14613,7113,6564,6035,781,669,661,63,62,68,6269,5833,5307,3974,3227,3039,249401,246562,249721,164066,161516,154448,44213,42801,42383,31143,29627,29944,13070,13174,12439,41122,42245,52890,13215,10426,25791,27907,31819,27099
Alabama,2008,Russell,D,1308277,1270792,1218655,772123,786012,766113,340206,308932,288849,51924,44044,41423,3677,3249,3164,284605,261639,244262,195948,175848,163693,51074,50459,49731,25615,25185,24505,15118,15577,15405,6661,6122,5808,1017,873,833,72,64,64,5572,5185,4912,3837,3485,3292,580608,570228,553009,432816,414591,396460,105423,100521,100840,74111,70565,72139,31312,29956,28701,42369,55116,55709,721,8115,6859,41648,47001,48850
Alabama,2008,Shelby,R,8242093,7642393,7046598,6038583,5680871,5327120,727943,658703,582649,48729,40302,38598,7292,6950,7160,671922,611451,536891,1475567,1302819,1136829,183491,178841,171691,44918,42733,41042,32909,31765,31027,3967,3683,3394,266,225,225,40,39,42,3662,3419,3127,8042,7285,6621,4844645,4329121,3975276,3575666,3146978,2893238,722448,660770,622908,475631,442757,418632,246817,218013,204276,546531,521373,459130,1409,4991,4866,545122,516382,454264
Alabama,2008,St. Clair,R,2310687,2141218,1984414,1604583,1505133,1382087,419571,379042,351081,38483,33036,32108,3430,3240,3295,377658,342766,315678,286533,257043,251246,79348,75948,72596,29121,28193,27335,20222,19818,19038,5288,4991,4836,485,435,442,43,43,45,4760,4513,4348,3611,3384,3461,828549,784112,723101,564705,516805,467602,132917,125294,120641,91339,86973,85180,41578,38321,35461,130927,142013,134858,6306,7454,18473,124621,134559,116385
Alabama,2008,Sumter,D,325333,307719,291499,174374,165824,163244,109754,108220,92791,21839,19247,19278,882,851,874,87033,88122,72639,41205,33675,35464,13926,14059,14143,23362,21888,20611,12521,11795,11542,7881,7698,6561,1568,1369,1363,63,61,62,6250,6268,5136,2959,2395,2508,173628,165264,163604,122630,117477,114210,32864,31290,32311,23883,22658,23629,8981,8632,8682,18134,16497,17083,12754,11107,12014,5380,5390,5069
Alabama,2008,Talladega,R,2186809,2101146,2057713,1333521,1332557,1334028,557492,514053,482130,67613,60582,58298,5699,5322,4740,484180,448149,419092,295796,254536,241555,82226,81991,81546,26595,25627,25234,16218,16252,16359,6780,6270,5912,822,739,715,69,65,58,5888,5466,5139,3597,3104,2962,1544296,1530751,1517733,1179102,1155617,1133282,287418,282507,286311,203096,199547,204146,84322,82960,82165,77776,92627,98140,3079,16084,24979,74697,76543,73161
Alabama,2008,Tallapoosa,R,1238386,1186405,1100514,692996,678025,640402,313850,304492,269039,31794,28424,27355,2710,2432,2075,279346,273636,239609,231540,203888,191073,41414,41243,40857,29903,28766,26936,16733,16440,15674,7578,7383,6585,768,689,670,65,59,51,6745,6635,5865,5591,4944,4677,610332,602325,558967,443718,436510,394934,104489,103421,101995,71442,70137,71168,33047,33284,30827,62125,62394,62038,387,1290,2687,61738,61104,59351
Alabama,2008,Tuscaloosa,R,5858295,5548373,5183104,3633171,3533222,3334715,1075531,965370,907674,115614,99874,96625,8270,7493,7887,951647,858003,803162,1149593,1049781,940715,184350,181383,175731,31778,30589,29495,19708,19479,18976,5834,5322,5165,627,551,550,45,41,45,5162,4730,4570,6236,5788,5353,4592136,4422014,4100522,3452995,3291706,3039698,839440,814694,777745,597115,582880,559559,242325,231814,218186,299701,315614,283079,2052,2836,7067,297649,312778,276012
Alabama,2008,Walker,R,2120275,2038894,1946250,1157275,1139416,1102281,567136,534568,490145,47183,40722,39749,3661,3626,3358,516292,490220,447038,395864,364910,353824,67695,68234,68500,31321,29881,28412,17095,16699,16092,8378,7834,7155,697,597,580,54,53,49,7627,7184,6526,5848,5348,5165,883153,869550,821394,613524,591055,553259,152574,150856,145189,107944,107754,104214,44630,43102,40975,117055,127639,122946,2685,8019,19549,114370,119620,103397
Alabama,2008,Washington,R,464523,427712,409360,288964,256012,250288,117586,121370,107037,14856,13531,14446,1157,1031,1054,101573,106808,91537,57973,50330,52035,17491,17705,17690,26558,24158,23141,16521,14460,14149,6723,6855,6051,849,764,817,66,58,60,5807,6033,5175,3314,2843,2941,288400,262344,262876,205926,192265,190992,55988,53536,52609,41440,40324,39649,14548,13212,12960,26486,16543,19275,10606,374,5378,15880,16169,13897
Alabama,2008,Wilcox,D,271085,263380,246765,127208,129602,122101,107146,100150,92295,24828,22010,21751,931,798,822,81387,77342,69722,36731,33628,32369,12208,12221,12369,22206,21551,19950,10420,10605,9872,8777,8195,7462,2034,1801,1759,76,65,66,6667,6329,5637,3009,2752,2617,179285,182158,174306,119986,119547,117515,30062,30220,30877,21587,21675,22392,8475,8545,8485,29237,32391,25914,9158,12512,11505,20079,19879,14409
Alabama,2008,Winston,R,655555,628683,616464,377214,379243,382256,184084,171368,158945,16596,14843,14992,1604,1354,1277,165884,155171,142676,94257,78072,75263,24858,24796,24629,26372,25354,25030,15175,15295,15521,7405,6911,6454,668,599,609,65,55,52,6673,6258,5793,3792,3149,3056,391994,402828,407347,258664,263051,251218,,,,,,,,,,,,,,,,,,
