State,Year,County,Party,Personal income (thousands of dollars) 2007,Personal income (thousands of dollars) 2006,Personal income (thousands of dollars) 2005, Net earnings by place of residence 2007, Net earnings by place of residence 2006, Net earnings by place of residence 2005, Personal current transfer receipts 2007, Personal current transfer receipts 2006, Personal current transfer receipts 2005,  Income maintenance benefits 1/2007,  Income maintenance benefits 1/2006,  Income maintenance benefits 1/2005,  Unemployment insurance compensation 2007,  Unemployment insurance compensation 2006,  Unemployment insurance compensation 2005,  Retirement and other 2007,  Retirement and other 2006,  Retirement and other 2005," Dividends, interest, and rent 2/2007"," Dividends, interest, and rent 2/2006"," Dividends, interest, and rent 2/2005", Population (persons) 3/2007, Population (persons) 3/2006, Population (persons) 3/2005, Per capita personal income 4/2007, Per capita personal income 4/2006, Per capita personal income 4/2005, Per capita net earnings 4/2007, Per capita net earnings 4/2006, Per capita net earnings 4/2005, Per capita personal current transfer receipts 4/2007, Per capita personal current transfer receipts 4/2006, Per capita personal current transfer receipts 4/2005,  Per capita income maintenance benefits 4/2007,  Per capita income maintenance benefits 4/2006,  Per capita income maintenance benefits 4/2005,  Per capita unemployment insurance compensation 4/2007,  Per capita unemployment insurance compensation 4/2006,  Per capita unemployment insurance compensation 4/2005,  Per capita retirement and other 4/2007,  Per capita retirement and other 4/2006,  Per capita retirement and other 4/2005," Per capita dividends, interest, and rent 4/2007"," Per capita dividends, interest, and rent 4/2006"," Per capita dividends, interest, and rent 4/2005", Earnings by place of work 2007, Earnings by place of work 2006, Earnings by place of work 2005,  Wages and salaries 2007,  Wages and salaries 2006,  Wages and salaries 2005,  Supplements to wages and salaries 2007,  Supplements to wages and salaries 2006,  Supplements to wages and salaries 2005,   Employer contributions for employee pension and insurance funds 5/2007,   Employer contributions for employee pension and insurance funds 5/2006,   Employer contributions for employee pension and insurance funds 5/2005,   Employer contributions for government social insurance 2007,   Employer contributions for government social insurance 2006,   Employer contributions for government social insurance 2005,  Proprietors' income 2007,  Proprietors' income 2006,  Proprietors' income 2005,   Farm proprietors' income 2007,   Farm proprietors' income 2006,   Farm proprietors' income 2005,   Nonfarm proprietors' income 2007,   Nonfarm proprietors' income 2006,   Nonfarm proprietors' income 2005
Alabama,2008,Chilton,R,1168029,1097419,1025466,764094,740468,702510,257244,235322,212978,28214,23410,22468,2214,2012,2144,226816,209900,188366,146691,121629,109978,42881,42318,41946,27239,25933,24447,17819,17498,16748,5999,5561,5077,658,553,536,52,48,51,5289,4960,4491,3421,2874,2622,442220,431464,403456,293652,279026,257031,73606,70287,68415,52149,49924,49317,21457,20363,19098,74962,82151,78010,3453,6990,7904,71509,75161,70106
Alabama,2008,Choctaw,R,338875,332713,319762,175341,179685,174563,114672,111817,102487,14360,12436,13022,877,784,860,99435,98597,88605,48862,41211,42712,14216,14431,14545,23838,23055,21984,12334,12451,12002,8066,7748,7046,1010,862,895,62,54,59,6995,6832,6092,3437,2856,2937,239334,247389,232936,180566,188549,178337,40099,41161,40847,27963,28718,28929,12136,12443,11918,18669,17679,13752,2829,-93,-111,15840,17772,13863
Alabama,2008,Clarke,R,696677,664982,635462,390258,380174,367951,191580,181965,172245,28028,26267,27430,1777,1664,1600,161775,154034,143215,114839,102843,95266,26436,26755,26764,26353,24854,23743,14762,14209,13748,7247,6801,6436,1060,982,1025,67,62,60,6119,5757,5351,4344,3844,3559,435439,415608,400430,310144,293444,282214,78074,74417,74354,55541,53034,53531,22533,21383,20823,47221,47747,43862,7649,7298,8084,39572,40449,35778
Alabama,2008,Clay,R,388103,382386,363221,227106,240526,229661,105094,95972,90244,9459,8317,7962,945,721,718,94690,86934,81564,55903,45888,43316,14085,14053,14077,27554,27210,25802,16124,17116,16315,7461,6829,6411,672,592,566,67,51,51,6723,6186,5794,3969,3265,3077,192189,213390,204829,139195,142582,128998,36454,36181,34957,25786,25216,24936,10668,10965,10021,16540,34627,40874,3843,17957,25230,12697,16670,15644
Alabama,2008,Cleburne,R,380631,358512,350893,238408,233376,235132,93504,85639,79459,8522,7167,6977,675,614,660,84307,77858,71822,48719,39497,36302,14799,14538,14368,25720,24660,24422,16110,16053,16365,6318,5891,5530,576,493,486,46,42,46,5697,5355,4999,3292,2717,2527,143111,147594,162265,89009,87083,87459,23033,22874,23995,16559,16400,17445,6474,6474,6550,31069,37637,50811,10879,14989,27155,20190,22648,23656
Alabama,2008,Coffee,R,1540900,1409127,1357952,914039,846676,838613,301761,278745,251637,27000,22763,23225,2286,2049,1992,272475,253933,226420,325100,283706,267702,47458,46228,45604,32469,30482,29777,19260,18315,18389,6358,6030,5518,569,492,509,48,44,44,5741,5493,4965,6850,6137,5870,661023,628230,628178,452860,431331,405794,113982,110665,108160,80336,78633,77665,33646,32032,30495,94181,86234,114224,23503,12811,51854,70678,73423,62370
Alabama,2008,Colbert,R,1608063,1526000,1444778,953196,936791,887167,409513,382510,357490,34956,30695,30354,5448,4223,4909,369109,347592,322227,245354,206699,200121,54486,54413,54359,29513,28045,26578,17494,17216,16321,7516,7030,6576,642,564,558,100,78,90,6774,6388,5928,4503,3799,3681,1199693,1190141,1122136,858724,838680,777405,215396,210512,207959,150809,147112,147836,64587,63400,60123,125573,140949,136772,3818,2671,15432,121755,138278,121340
Alabama,2008,Conecuh,R,321495,312375,307114,164159,167915,169216,112540,103578,99808,15648,14376,14673,897,758,805,95995,88444,84330,44796,40882,38090,13441,13603,13421,23919,22964,22883,12213,12344,12608,8373,7614,7437,1164,1057,1093,67,56,60,7142,6502,6283,3333,3005,2838,184914,191073,187696,128604,135415,132788,34625,35642,35806,24922,25404,25723,9703,10238,10083,21685,20016,19102,5585,6116,6004,16100,13900,13098
Alabama,2008,Coosa,R,292090,288091,272081,171732,178015,169731,79770,76092,70959,9209,8359,7943,763,700,612,69798,67033,62404,40588,33984,31391,11439,11451,11467,25535,25159,23727,15013,15546,14802,6974,6645,6188,805,730,693,67,61,53,6102,5854,5442,3548,2968,2738,87296,94545,86898,57356,62351,57220,15754,16674,15978,11231,11761,11418,4523,4913,4560,14186,15520,13700,3825,3674,3000,10361,11846,10700
Alabama,2008,Covington,R,1000050,945797,917467,555901,546730,530474,290550,271722,254126,26462,24893,23717,2148,1905,2118,261940,244924,228291,153599,127345,132867,37631,37441,37204,26575,25261,24660,14772,14602,14259,7721,7257,6831,703,665,637,57,51,57,6961,6542,6136,4082,3401,3571,589755,582078,564271,413000,397180,377725,105495,101885,98778,74829,72274,70835,30666,29611,27943,71260,83013,87768,15550,21451,32727,55710,61562,55041
