,State,County,President,Party
130,Arkansas,Clark,Donald Trump,R
131,Arkansas,Clay,Donald Trump,R
132,Arkansas,Cleburne,Donald Trump,R
133,Arkansas,Cleveland,Donald Trump,R
134,Arkansas,Columbia,Donald Trump,R
135,Arkansas,Conway,Donald Trump,R
136,Arkansas,Craighead,Donald Trump,R
137,Arkansas,Crawford,Donald Trump,R
138,Arkansas,Crittenden,Kamala Harris,D
139,Arkansas,Cross,Donald Trump,R
140,Arkansas,Dallas,Donald Trump,R
141,Arkansas,Desha,Donald Trump,R
142,Arkansas,Drew,Donald Trump,R
143,Arkansas,Faulkner,Donald Trump,R
144,Arkansas,Franklin,Donald Trump,R
145,Arkansas,Fulton,Donald Trump,R
146,Arkansas,Garland,Donald Trump,R
147,Arkansas,Grant,Donald Trump,R
148,Arkansas,Greene,Donald Trump,R
149,Arkansas,Hempstead,Donald Trump,R
150,Arkansas,Hot Spring,Donald Trump,R
151,Arkansas,Howard,Donald Trump,R
152,Arkansas,Independence,Donald Trump,R
153,Arkansas,Izard,Donald Trump,R
154,Arkansas,Jackson,Donald Trump,R
155,Arkansas,Jefferson,Kamala Harris,D
156,Arkansas,Johnson,Donald Trump,R
157,Arkansas,Lafayette,Donald Trump,R
158,Arkansas,Lawrence,Donald Trump,R
159,Arkansas,Lee,Kamala Harris,D
160,Arkansas,Lincoln,Donald Trump,R
161,Arkansas,Little River,Donald Trump,R
162,Arkansas,Logan,Donald Trump,R
163,Arkansas,Lonoke,Donald Trump,R
164,Arkansas,Madison,Donald Trump,R
165,Arkansas,Marion,Donald Trump,R
166,Arkansas,Miller,Donald Trump,R
167,Arkansas,Mississippi,Donald Trump,R
168,Arkansas,Monroe,Donald Trump,R
169,Arkansas,Montgomery,Donald Trump,R
170,Arkansas,Nevada,Donald Trump,R
171,Arkansas,Newton,Donald Trump,R
172,Arkansas,Ouachita,Donald Trump,R
173,Arkansas,Perry,Donald Trump,R
174,Arkansas,Phillips,Kamala Harris,D
175,Arkansas,Pike,Donald Trump,R
176,Arkansas,Poinsett,Donald Trump,R
177,Arkansas,Polk,Donald Trump,R
178,Arkansas,Pope,Donald Trump,R
179,Arkansas,Prairie,Donald Trump,R
180,Arkansas,Pulaski,Kamala Harris,D
181,Arkansas,Randolph,Donald Trump,R
182,Arkansas,St. Francis,Kamala Harris,D
183,Arkansas,Saline,Donald Trump,R
184,Arkansas,Scott,Donald Trump,R
185,Arkansas,Searcy,Donald Trump,R
186,Arkansas,Sebastian,Donald Trump,R
187,Arkansas,Sevier,Donald Trump,R
188,Arkansas,Sharp,Donald Trump,R
189,Arkansas,Stone,Donald Trump,R
190,Arkansas,Union,Donald Trump,R
191,Arkansas,Van Buren,Donald Trump,R
192,Arkansas,Washington,Donald Trump,R
193,Arkansas,White,Donald Trump,R
194,Arkansas,Woodruff,Donald Trump,R
195,Arkansas,Yell,Donald Trump,R
196,California,Alameda,Kamala Harris,D
197,California,Alpine,Kamala Harris,D
198,California,Amador,Donald Trump,R
199,California,Butte,Donald Trump,R
200,California,Calaveras,Donald Trump,R
201,California,Colusa,Donald Trump,R
202,California,Contra Costa,Kamala Harris,D
203,California,Del Norte,Donald Trump,R
204,California,El Dorado,Donald Trump,R
205,California,Fresno,Donald Trump,R
206,California,Glenn,Donald Trump,R
207,California,Humboldt,Kamala Harris,D
208,California,Imperial,Kamala Harris,D
209,California,Inyo,Donald Trump,R
210,California,Kern,Donald Trump,R
211,California,Kings,Donald Trump,R
212,California,Lake,Kamala Harris,D
213,California,Lassen,Donald Trump,R
214,California,Los Angeles,Kamala Harris,D
215,California,Madera,Donald Trump,R
