GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",584766,647026,701514,757178,844168,954373,1040790,1097036,1210619,1302415,1483110,1809449,2178947,2515565,2745274,3078188,3228325,3437431,3518368,3819062,4532914,4575731,4657658,4627672,4654635,4804038,5185834,5311605,5751038,6006232,5893946,6231802,6149165,5512112,5763134,6061876,6365807,6784867,7385570,8080848,7315710,7409468,7921070,8608811,8708279,9349175,10015305,10198454,11148526,11786961,12334053,12490118,13356359,14258429,15946849
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",350672,411497,483338,532334,608467,718856,947920,1031824,1113466,1181177,1295286,1524126,1715091,1898062,2033393,2088828,2211400,2307211,2344086,2495032,2685095,2910974,3245909,3672596,3856162,4023136,4259471,4440215,4499810,4784120,4935168,5057379,5448011,5861014,6070346,6408671,6670635,7085855,7380539,8312563,9164550,9782720,10153151,10047427,10177062,10445028,11101725,11303685,12174516,11959252,12863506,17349911,18071835,15764325,16240760
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",2552961,2810171,3074211,3280531,3534247,3768089,3875076,4136648,4436704,4884289,5336169,5770985,6243200,6674742,7115274,7875354,8505865,9178028,9960291,10866629,11571086,12252802,12489496,13007348,13517108,14012348,14177541,14558207,15191184,16146619,16968162,18241546,19033060,19307556,20001933,20751730,21257937,22266851,22939313,24042939,23987062,24243673,24798244,25579151,26401893,27374209,28711043,29601095,30647528,31578669,32493250,32878022,35639431,38456767,40742955
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",357036,402310,470632,536815,583013,640038,721304,776488,878417,997736,1130013,1223678,1388461,1546828,1700099,1883217,2065910,2248498,2396660,2609448,2885694,3088016,3306738,3682843,3841195,3992533,3977287,3998079,4117927,4379768,4627453,5051712,5153422,5300278,5724288,6053474,6315459,6495648,6812951,7209572,7500321,7727706,7770225,7999441,8708637,8672308,9058626,9001046,9345219,9603856,9877301,10195835,10771409,10744706,11182890
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",221342,257159,305373,348576,349552,384315,459840,479467,554873,626659,712400,789010,894260,1022147,1129500,1222423,1358058,1476855,1578324,1693989,1932852,2114437,2292656,2612674,2727679,2827012,2803297,2804992,2884618,3084949,3298833,3602553,3618812,3722573,4077164,4334720,4545323,4647906,4924315,5226721,5554703,5749151,5744334,5913833,6525411,6382710,6666147,6582248,6840782,7114413,7331924,7605723,7887902,7713674,7924193
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1534610,1577705,1647124,1718754,1770136,1847742,1888636,1982851,1945618,1978555,2025891,2085608,2183226,2289598,2392479,2418798,2504437,2489443,2545377,2590112,2883507,3031032,3258697
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",290196,292848,303490,314614,325068,322415,331824,397996,434224,501270,549636,578409,570730,555574,609429,767149,812939,938867,975400,1112043,1238710,1247040,1225984,1413140,1390990,1373624,1542970,1723407,2086524,1922846,2390066,2783826,2975641,3219420,3102142,3273641,3088478,3272883,3198440,2879543,3131218,3820709,3740324,3696645,3597530,3411540,3198503,3334365,3606312,3684796,3803040,4032363,4477649,4486295,4652495
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",34327,32954,31371,29070,33006,25089,17819,24311,9313,20299,33691,32610,29654,23030,13581,20291,28554,39135,45097,31435,42902,37643,21820,34110,35528,20430,12286,43472,-10216,35797,49780,44286,63621,8180,29598,49159,52693,24922,31052,47200,11280,69961,112361,93607,134893,130407,54510,29836,74251,31242,112385,104045,128594,173790,44732
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",255869,259894,272119,285544,292062,297326,314005,373685,424911,480971,515945,545799,541076,532544,595848,746858,784385,899732,930303,1080608,1195808,1209397,1204164,1379030,1355462,1353194,1530684,1679935,2096740,1887049,2340286,2739540,2912020,3211240,3072544,3224482,3035785,3247961,3167388,2832343,3119938,3750748,3627963,3603038,3462637,3281133,3143993,3304529,3532061,3653554,3690655,3928318,4349055,4312505,4607763
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1607425,1821846,2044949,2336549,2604750,2926196,3315850,3755178,4203631,4856142,5502983,6169350,6899809,7388794,8122205,9016374,9915860,10570505,11171888,11878923,12682142,13618877,14595164,15701838,16976457,18372153,19883305,20897816,22022058,23165055,23661938,25749449,27230693,28422130,29772768,31582228,33541141,36162915,37885015,39958751,39772589,40389042,42201657,42780434,42107767,44597954,46097087,47979661,48918581,50948479,54085193,58614684,63813577,66595153,70035664
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1594488,1805711,2031503,2321572,2585191,2908179,3297610,3739735,4185929,4826214,5466317,6131596,6871594,7359997,8104620,8988452,9887864,10546674,11147091,11843514,12639833,13578006,14550491,15668215,16937906,18343958,19869569,20875213,21991998,23133957,23614875,25696868,27165195,28384020,29718011,31503258,33472354,36118180,37821759,39906102,39746955,40349163,42119244,42712144,42056565,44511922,46022413,47905207,48853687,50881917,54016190,58538342,63743370,66468058,69918802
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",12937,16135,13446,14977,19559,18017,18240,15443,17702,29928,36666,37754,28215,28797,17585,27922,27996,23831,24797,35409,42309,40871,44673,33623,38551,28195,13736,22603,30060,31098,47063,52581,65498,38110,54757,78970,68787,44735,63256,52649,25634,39879,82413,68290,51202,86032,74674,74454,64894,66562,69003,76342,70207,127095,116862
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",498100,504448,523248,536587,558632,574666,588826,606418,626140,639377,658417,675420,686019,666598,681113,696232,710273,728853,747860,760009,772654,784981,802239,823782,846648,872413,897189,913427,926667,937029,945198,956641,966423,984906,1000840,1018994,1040389,1063230,1082623,1097162,1111613,1126630,1136398,1140702,1143673,1142544,1143563,1147338,1151290,1153967,1158291,1163633,1165742,1166212,1168363
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3227,3612,3908,4354,4663,5092,5631,6192,6714,7595,8358,9134,10058,11084,11925,12950,13961,14503,14938,15630,16414,17349,18193,19061,20051,21059,22162,22878,23765,24722,25034,26917,28177,28858,29748,30994,32239,34012,34994,36420,35779,35849,37136,37504,36818,39034,40310,41818,42490,44151,46694,50372,54741,57104,59943
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1277296,1417511,1582539,1822404,2033464,2239441,2484964,2825963,3191137,3702854,4188952,4587676,5050684,5317135,5903338,6593139,7237774,7720595,8226914,8763413,9319557,10044050,10792754,11698892,12723513,13780946,14784709,15317842,16155491,17074444,17730299,19453946,20428613,21465955,22541641,23864571,25076885,26717967,27543040,28240173,27912405,28060036,28638264,28733147,28502987,29434637,30368670,31554629,32163072,33297962,35195387,35897696,39009469,41970437,44993829
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",78375,86221,101240,121693,156577,177257,194834,224513,256555,306249,363739,400861,472812,505797,570277,653685,732126,791294,835012,931649,1003367,1145506,1243622,1338604,1455176,1611286,1733856,1796916,1884869,1992937,2082798,2221220,2348295,2463786,2582751,2705582,2853885,3079689,3212032,3336256,3308246,3323871,3024737,3075521,3528545,3630199,3878918,3973760,4011133,4142313,4342031,4495624,4856719,5296415,5704328
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",38680,42385,49405,58199,75543,86002,94323,105752,120812,143239,170745,190411,226689,244259,272127,305539,353354,385278,411416,466409,511151,581496,635377,679623,742782,821060,888862,920200,964008,1021983,1076939,1145402,1214712,1270982,1332988,1412577,1494585,1614067,1693358,1745626,1732625,1725542,1382831,1407860,1832798,1894980,1971689,2049525,2148834,2263192,2374166,2464694,2665811,2930001,3122210
